error,gral__codigo_catastral,gral__fecha_aprobacion,gral__informe,gral__normativa_segun_informe,gral__patron_de_asentamiento,gral__zona_referencial,identificador_b64,otro__arquitecto_reponsable,otro__tipo_de_obra,otro__tipo_de_proyecto,par__ale_sub_area_de_lote_edificable,par__altillo,par__amc_sub_area_maxima_a_cubrir_sub_sotano,par__ame_sub_area_maxima_a_edificar_sub_zocalo,par__amf_sub_altura_maxima_de_fachada_sub_sotano,par__amv_sub_area_minima_verde,par__fml_sub_frente_minimo_de_lote,par__fondo,par__lateral_1,par__lateral_2,par__mezzanine,par__nmp_sub_numero_minimo_de_parqueos,par__rme_sub_retiro_minimo_de_edificacion_torre_sub_frontal,par__rme_zocalo_sub_retiro_minimo_de_edificacion_zocalo_sub_frontal,par__semisotano,par__torre,par__voladizo_sub_voladizo_sobre_retiro_frontal,par__zocalo,url
,044 0187 0033 0000,12/dic./2017,DATC PIAC SUR 1363/2017,,4CC - d19,COTA COTA,MDQ0MDE4NzAwMzMwMDAwfDl8MjAxNw==,ARIEL HUANCA RODRIGUEZ,Construcción Nueva,Residencial,365.64 m2,null plantas,0.00 m2,0.00 m2,null plantas,73.52 m2,19.17 ml,6.70 ml,3.10 ml,0.00 ml,0.00 m2,6 unidades,0.00 ml,0.00 ml,null plantas,5 plantas,0.00 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDQ0MDE4NzAwMzMwMDAwfDl8MjAxNw==
,044 2875 0001 0000,15/dic./2017,PIAC SUR 1376,,4P.R - d18,IRPAVI,MDQ0Mjg3NTAwMDEwMDAwfDEwfDIwMTc=,MARIO GENARO VEIZAGA GUTIERREZ,Construcción Nueva,Residencial,300.00 m2,null plantas,0.00 m2,0.00 m2,null plantas,0.00 m2,19.93 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,2 unidades,10.68 ml,0.00 ml,null plantas,3 plantas,0.00 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDQ0Mjg3NTAwMDEwMDAwfDEwfDIwMTc=
,044 0415 0014 0000,19/dic./2017,DATC PIAC SUR 1388,,4AC - d18,ACHUMANI,MDQ0MDQxNTAwMTQwMDAwfDI5fDIwMTc=,NICOLAS BOHORQUEZ PEÑARANDA,Construcción Nueva,Hospedaje,600.00 m2,1 plantas,560.28 m2,0.00 m2,1 plantas,185.55 m2,20.00 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,5 unidades,3.00 ml,0.00 ml,0 plantas,5 plantas,0.93 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDQ0MDQxNTAwMTQwMDAwfDI5fDIwMTc=
,026 0003 0090 0000,19/dic./2017,DATC PIAC CAMACHO 1618/2017,,3C - d6,SAN PEDRO ALTO,MDI2MDAwMzAwOTAwMDAwfDM3fDIwMTc=,VICTOR RAMOS MAMANI,Construcción Nueva,Residencial Mixta,215.00 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,25.25 m2,10.00 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,0 unidades,0.00 ml,0.00 ml,0 plantas,5 plantas,1.00 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDI2MDAwMzAwOTAwMDAwfDM3fDIwMTc=
,034 0717 0009 0000,12/dic./2017,DATC SERMAT II 592/2017,,3 - d17,SAN ISIDRO,MDM0MDcxNzAwMDkwMDAwfDU2fDIwMTc=,VICTOR RAMOS MAMANI,Construcción Nueva,Residencial,257.61 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,81.56 m2,45.16 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,0 unidades,0.00 ml,0.00 ml,0 plantas,4 plantas,0.60 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDM0MDcxNzAwMDkwMDAwfDU2fDIwMTc=
,020 0519 0025 0000,14/dic./2017,DATC SERMAT II Nº594/2017,,3 - d16,VILLA SALOME,MDIwMDUxOTAwMjUwMDAwfDY2fDIwMTc=,JULIO CONDE  CONDE,Construcción Nueva,Residencial,215.00 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,64.98 m2,9.87 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,1 unidades,0.00 ml,0.00 ml,0 plantas,5 plantas,0.50 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDIwMDUxOTAwMjUwMDAwfDY2fDIwMTc=
rechazada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sitservicios.lapaz.bo/situtiles/pc/?MDQ0MDA0MDAwMTYwMDAwfDczfDIwMTc=
rechazada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sitservicios.lapaz.bo/situtiles/pc/?MDQ0MDAwMTAwMDMwMDAwfDk3fDIwMTc=
,009 0087 0013 0000,12/dic./2017,DATC SERMAT II 593/2017,,2 - d11,VINO TINTO,MDA5MDA4NzAwMTMwMDAwfDExMXwyMDE3,OSVALDO QUISPE  FERNANDEZ,Construcción Nueva,Residencial,160.00 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,39.90 m2,8.46 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,1 unidades,0.00 ml,0.00 ml,1 plantas,3 plantas,0.50 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDA5MDA4NzAwMTMwMDAwfDExMXwyMDE3
rechazada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sitservicios.lapaz.bo/situtiles/pc/?MDQ0MTUwMzAwMDIwMDAwfDExNnwyMDE3
,046 0323 0007 0000,14/dic./2017,DATC PIAC SUR 370,,4A - d19,LA FLORIDA,MDQ2MDMyMzAwMDcwMDAwfDEyMXwyMDE3,ROBERTO AUCHEN OROZCO,Ampliación,Residencial,740.00 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,381.23 m2,19.00 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,4 unidades,3.00 ml,0.00 ml,0 plantas,2 plantas,0.00 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDQ2MDMyMzAwMDcwMDAwfDEyMXwyMDE3
,036 0229 0007 0000,20/dic./2017,DATC SERMAT II 610/2017,,1 - d13,KOCHAPAMPA,MDM2MDIyOTAwMDcwMDAwfDEyMnwyMDE3,JAEL SAAVEDRA LUNA DE CARPIO,Construcción Nueva,Residencial,190.00 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,61.85 m2,10.10 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,1 unidades,0.00 ml,0.00 ml,0 plantas,3 plantas,0.80 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDM2MDIyOTAwMDcwMDAwfDEyMnwyMDE3
,006 0134 0007 0000,15/dic./2017,DATC SERMAT II 607/2017,,3 - d13,VILLA FATIMA,MDA2MDEzNDAwMDcwMDAwfDEyNnwyMDE3,JAIME LEONARDO MANTILLA LOPEZ,Construcción Nueva,Residencial,219.06 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,66.44 m2,15.00 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,0 unidades,0.62 ml,0.00 ml,0 plantas,4 plantas,0.00 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDA2MDEzNDAwMDcwMDAwfDEyNnwyMDE3
,006 0473 0007 0000,26/dic./2017,DATC SERMAT II 621/2017,,3 - d13,VILLA EL CARMEN,MDA2MDQ3MzAwMDcwMDAwfDEzN3wyMDE3,LUIS FERNANDO VALDEZ GARCIA,Construcción Nueva,Residencial,200.00 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,60.90 m2,9.73 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,0 unidades,0.00 ml,0.00 ml,0 plantas,4 plantas,1.00 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDA2MDQ3MzAwMDcwMDAwfDEzN3wyMDE3
,006 0858 0005 0000,28/dic./2017,DATC SERMAT II .620/2017,,2 - d12,CUPILUPACA,MDA2MDg1ODAwMDUwMDAwfDE0MnwyMDE3,NARDA BELKA RODRIGUEZ DE MALAGA,Construcción Nueva,Residencial,210.79 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,38.94 m2,17.55 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,0 unidades,0.00 ml,0.00 ml,0 plantas,4 plantas,0.80 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDA2MDg1ODAwMDUwMDAwfDE0MnwyMDE3
rechazada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sitservicios.lapaz.bo/situtiles/pc/?MDIwMDEyNjAwMTgwMDAwfDE0OXwyMDE3
,020 0778 0008 0000,26/dic./2017,DATC SERMAT II 613/2016,,3 - d15,VILLA SAN ANTONIO,MDIwMDc3ODAwMDgwMDAwfDE1N3wyMDE3,NESTOR TORREZ HUANACU,Construcción Nueva,Residencial,100.00 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,33.90 m2,5.00 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,0 unidades,4.24 ml,0.00 ml,0 plantas,3 plantas,0.00 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDIwMDc3ODAwMDgwMDAwfDE1N3wyMDE3
rechazada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sitservicios.lapaz.bo/situtiles/pc/?MDE3MDEyNjAwMDUwMDAwfDE3MHwyMDE3
rechazada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sitservicios.lapaz.bo/situtiles/pc/?MDAxMDM5NjAwMTIwMDAwfDE4MHwyMDE3
rechazada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sitservicios.lapaz.bo/situtiles/pc/?MDM2MDEyNTAwMzYwMDAwfDE4NnwyMDE3
,044 1131 0011 0000,16/ene./2018,DATC PIAC SUR 35,,4P - d19,LAS ROSAS-WHILA KHOTA,MDQ0MTEzMTAwMTEwMDAwfDE5NHwyMDE4,ADRIANA ALLISON TORREZ MENDOZA,Construcción Nueva,Residencial,635.55 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,264.34 m2,604.87 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,2 unidades,3.00 ml,0.00 ml,0 plantas,2 plantas,0.00 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDQ0MTEzMTAwMTEwMDAwfDE5NHwyMDE4
,020 0337 0006 0000,12/ene./2018,DATC SERMAT II Nº018/2018,,3 - d16,PAMPAHASI,MDIwMDMzNzAwMDYwMDAwfDE5OXwyMDE4,VIOLETA RAQUEL ARGANI GUTIERREZ,Construcción Nueva,Residencial Mixta,477.00 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,145.14 m2,3.60 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,0 unidades,0.00 ml,0.00 ml,1 plantas,1 plantas,0.00 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDIwMDMzNzAwMDYwMDAwfDE5OXwyMDE4
,044 0134 0004 0000,24/ene./2018,PIAC SUR 69,,4CP - d19,CALACOTO,MDQ0MDEzNDAwMDQwMDAwfDIwNnwyMDE4,BERNARDO SORIA GALVARRO PALMERO,Construcción Nueva,Residencial,265.00 m2,0 plantas,265.00 m2,0.00 m2,1 plantas,72.86 m2,11.93 ml,3.00 ml,0.00 ml,3.00 ml,0.00 m2,6 unidades,3.00 ml,3.00 ml,0 plantas,7 plantas,0.00 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDQ0MDEzNDAwMDQwMDAwfDIwNnwyMDE4
,035 0020 0033 0000,17/ene./2018,DATC SERMAT II 28/2018,,2 - d11,VILLA PABON,MDM1MDAyMDAwMzMwMDAwfDIxMXwyMDE4,LIMBERT OMAR MEJÍA VÉLEZ,Construcción Nueva,Residencial Mixta,124.26 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,12.43 m2,8.05 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,0 unidades,0.00 ml,0.00 ml,0 plantas,2 plantas,0.45 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDM1MDAyMDAwMzMwMDAwfDIxMXwyMDE4
,020 0340 0039 0000,24/ene./2018,DATC SERMAT II 038/2018,,3 - d16,PAMPAHASI,MDIwMDM0MDAwMzkwMDAwfDIyNHwyMDE4,CESAR EDUARDO FRIAS BARRIOS,Construcción Nueva,Residencial,190.00 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,57.00 m2,1.47 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,0 unidades,0.00 ml,0.00 ml,0 plantas,2 plantas,0.00 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDIwMDM0MDAwMzkwMDAwfDIyNHwyMDE4
,036 0063 0044 0000,26/ene./2018,DATC SERMAT II 42/2018,,3C - d14,VILLA COPACABANA,MDM2MDA2MzAwNDQwMDAwfDIyNXwyMDE4,MARIA DEL ROSARIO SUAREZ CORDERO,Construcción Nueva,Residencial Mixta,280.00 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,26.35 m2,16.50 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,0 unidades,1.42 ml,0.00 ml,0 plantas,7 plantas,0.00 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDM2MDA2MzAwNDQwMDAwfDIyNXwyMDE4
,034 0171 0007 0000,19/ene./2018,SERMAT II 32/2018,,3 - d17,SAN ISIDRO,MDM0MDE3MTAwMDcwMDAwfDIzMXwyMDE4,WALTER ANDRES ESPINOZA GARCIA,Construcción Nueva,Residencial Mixta,219.00 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,85.37 m2,29.00 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,1 unidades,0.00 ml,0.00 ml,1 plantas,5 plantas,0.80 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDM0MDE3MTAwMDcwMDAwfDIzMXwyMDE4
,020 1056 0002 0000,26/ene./2018,DATC SERMAT II Nº043/2018,,3 - d15,VILLA SAN ANTONIO,MDIwMTA1NjAwMDIwMDAwfDIzMnwyMDE4,ENRIQUE ARMANDO ALI CUBA,Construcción Nueva,Residencial,160.00 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,53.75 m2,8.44 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,1 unidades,8.15 ml,0.00 ml,1 plantas,2 plantas,0.00 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDIwMTA1NjAwMDIwMDAwfDIzMnwyMDE4
,036 0177 0003 0000,24/ene./2018,DATC SERMAT II 36/2018,,3 - d14,PACASA,MDM2MDE3NzAwMDMwMDAwfDIzOXwyMDE4,ANA MARIA VALLE CHOQUE,Construcción Nueva,Residencial,190.46 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,57.83 m2,19.00 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,1 unidades,0.00 ml,0.00 ml,0 plantas,3 plantas,0.50 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDM2MDE3NzAwMDMwMDAwfDIzOXwyMDE4
,020 0517 0049 0000,30/ene./2018,DATC SERMAT II 49/2018,,3 - d16,VILLA SALOME,MDIwMDUxNzAwNDkwMDAwfDI0NnwyMDE4,ROMULO JUSTINIANO QUISPE COPA,Construcción Nueva,Residencial,215.00 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,65.91 m2,9.96 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,0 unidades,0.00 ml,0.00 ml,0 plantas,4 plantas,0.80 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDIwMDUxNzAwNDkwMDAwfDI0NnwyMDE4
,020 0508 0001 0000,30/ene./2018,SERMAT II 045/2018,,3 - d16,VILLA SALOME,MDIwMDUwODAwMDEwMDAwfDI1MHwyMDE4,VICTOR RAMOS MAMANI,Construcción Nueva,Residencial Mixta,215.00 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,64.51 m2,9.65 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,0 unidades,0.00 ml,0.00 ml,1 plantas,4 plantas,1.00 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDIwMDUwODAwMDEwMDAwfDI1MHwyMDE4
,046 0049 0012 0000,15/feb./2018,PIAC SUR 155,,4P - d20,MALLASA,MDQ2MDA0OTAwMTIwMDAwfDI1NXwyMDE4,WALLIA ROSARIO TELLERIA,Construcción Nueva,Residencial,500.00 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,140.52 m2,14.15 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,1 unidades,16.25 ml,0.00 ml,0 plantas,2 plantas,0.00 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDQ2MDA0OTAwMTIwMDAwfDI1NXwyMDE4
,006 0164 0006 0000,01/feb./2018,DATC PIAC CAMACHO 50/2018,,3C - d2,MIRAFLORES,MDA2MDE2NDAwMDYwMDAwfDI2MXwyMDE4,LOURDES PAREDES FERNANDEZ,Construcción Nueva,Residencial Mixta,241.60 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,24.21 m2,12.54 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,0 unidades,1.00 ml,0.00 ml,1 plantas,7 plantas,0.00 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDA2MDE2NDAwMDYwMDAwfDI2MXwyMDE4
,044 0491 0004 0000,15/feb./2018,PIAC SUR 141,,4P - d18,KOANI,MDQ0MDQ5MTAwMDQwMDAwfDI3MHwyMDE4,LUIS ANTONIO HUAYNOCA APAZA,Construcción Nueva,Residencial,300.00 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,90.00 m2,15.14 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,2 unidades,3.03 ml,0.00 ml,0 plantas,3 plantas,0.00 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDQ0MDQ5MTAwMDQwMDAwfDI3MHwyMDE4
,009 0073 0023 0000,02/feb./2018,DATC SERMAT II 57/2018,,2 - d11,VINO TINTO,MDA5MDA3MzAwMjMwMDAwfDI3M3wyMDE4,DIEGO ARMANDO VELARDE ALEJO,Ampliación,Residencial,166.04 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,72.66 m2,24.74 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,0 unidades,0.00 ml,0.00 ml,1 plantas,3 plantas,0.50 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDA5MDA3MzAwMjMwMDAwfDI3M3wyMDE4
,021 0027 0015 0000,07/feb./2018,DATC SERMAT II 064/2018,,2 - d12,MIRAFLORES,MDIxMDAyNzAwMTUwMDAwfDI3OHwyMDE4,EDDY FLORES FERNANDEZ,Construcción Nueva,Residencial,140.00 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,16.84 m2,8.85 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,2 unidades,0.00 ml,0.00 ml,0 plantas,4 plantas,1.00 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDIxMDAyNzAwMTUwMDAwfDI3OHwyMDE4
,020 0499 0023 0000,07/feb./2018,DATC SERMAT II 68/2018,,3 - d16,VILLA SALOME,MDIwMDQ5OTAwMjMwMDAwfDI5NHwyMDE4,GUILLERMO ROBERTO RIVERA  OCAMPO,Construcción Nueva,Residencial,215.00 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,66.19 m2,10.05 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,0 unidades,0.00 ml,0.00 ml,0 plantas,5 plantas,1.00 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDIwMDQ5OTAwMjMwMDAwfDI5NHwyMDE4
,006 1153 0010 0000,01/feb./2018,DATC SERMAT II 055/2018,,2 - d12,27 DE MAYO,MDA2MTE1MzAwMTAwMDAwfDMwMHwyMDE4,JORGE ALBERTO TUMIRI CONDE,Construcción Nueva,Residencial Mixta,200.00 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,20.00 m2,16.40 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,0 unidades,0.00 ml,0.00 ml,1 plantas,3 plantas,0.70 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDA2MTE1MzAwMTAwMDAwfDMwMHwyMDE4
,035 0038 0011 0000,02/feb./2018,DATC SERMAT II Nº59/2018,,3C - d11,VILLA PABON,MDM1MDAzODAwMTEwMDAwfDMxOXwyMDE4,CIRO SORUCO BASPINEIRO,Construcción Nueva,Residencial Mixta,463.43 m2,0 plantas,458.48 m2,0.00 m2,11 plantas,48.65 m2,24.54 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,0 unidades,0.00 ml,0.00 ml,1 plantas,9 plantas,1.00 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDM1MDAzODAwMTEwMDAwfDMxOXwyMDE4
,020 0526 0019 0000,02/feb./2018,SERMAT II Nº056/2018,,3 - d16,VILLA SALOME,MDIwMDUyNjAwMTkwMDAwfDMyMHwyMDE4,YOLANDA YHASMI ALVAREZ NINA,Construcción Nueva,Residencial,420.00 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,126.50 m2,20.34 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,0 unidades,0.00 ml,0.00 ml,3 plantas,5 plantas,0.90 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDIwMDUyNjAwMTkwMDAwfDMyMHwyMDE4
,020 0516 0019 0000,02/feb./2018,DATC SERMAT II 058/2018,,3 - d16,VILLA SALOME,MDIwMDUxNjAwMTkwMDAwfDMyMXwyMDE4,LUIS ALBERTO CAMACHO AIMARETTI,Construcción Nueva,Residencial,215.00 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,64.87 m2,10.00 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,1 unidades,0.00 ml,0.00 ml,1 plantas,4 plantas,0.23 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDIwMDUxNjAwMTkwMDAwfDMyMXwyMDE4
,015 0030 0005 0000,15/feb./2018,DATC SERMAT II 074/2018,,2 - d11,NORTE,MDE1MDAzMDAwMDUwMDAwfDMyM3wyMDE4,LIMBERT OMAR MEJÍA VÉLEZ,Construcción Nueva,Residencial Mixta,211.80 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,21.18 m2,5.88 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,0 unidades,0.00 ml,0.00 ml,0 plantas,3 plantas,0.80 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDE1MDAzMDAwMDUwMDAwfDMyM3wyMDE4
,014 0042 0009 0000,06/feb./2018,DATC PIAC CAMACHO 54/2018,,3F - d2,MIRAFLORES,MDE0MDA0MjAwMDkwMDAwfDMzNXwyMDE4,RUTH XIMENA CHURA RAMOS,Construcción Nueva,Residencial Mixta,301.10 m2,0 plantas,283.09 m2,0.00 m2,1 plantas,90.33 m2,15.73 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,0 unidades,3.00 ml,0.00 ml,0 plantas,7 plantas,0.00 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDE0MDA0MjAwMDkwMDAwfDMzNXwyMDE4
,016 0023 0058 0000,09/mar./2018,DATC PIAC CAMACHO 106,,3 - d7,OBISPO INDABURO,MDE2MDAyMzAwNTgwMDAwfDM0MnwyMDE4,LUIS AGUILAR GUTIERREZ,Construcción Nueva,Residencial Mixta,119.00 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,40.17 m2,8.25 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,0 unidades,0.00 ml,0.00 ml,1 plantas,4 plantas,0.45 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDE2MDAyMzAwNTgwMDAwfDM0MnwyMDE4
,028 0155 0011 0000,20/feb./2018,DATC PIAC CAMACHO 74,,3F - d3,SOPOCACHI,MDI4MDE1NTAwMTEwMDAwfDM0NnwyMDE4,IGNACIO HUARANCA FERNANDEZ,Construcción Nueva,Residencial,316.01 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,95.08 m2,13.82 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,2 unidades,3.00 ml,0.00 ml,1 plantas,4 plantas,0.00 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDI4MDE1NTAwMTEwMDAwfDM0NnwyMDE4
,044 3005 0007 0000,07/mar./2018,DATC PIAC SUR 188,,4PK - d18,ACHUMANI,MDQ0MzAwNTAwMDcwMDAwfDM1M3wyMDE4,MARCO ALBERTO SALINAS LUNA OROZCO,Construcción Nueva,Residencial,300.00 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,108.21 m2,33.29 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,3 unidades,3.42 ml,0.00 ml,0 plantas,4 plantas,0.09 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDQ0MzAwNTAwMDcwMDAwfDM1M3wyMDE4
,044 0047 0022 0000,21/mar./2018,DATC PIAC SUR 194/2018,,4 - d19,CALACOTO,MDQ0MDA0NzAwMjIwMDAwfDM2NXwyMDE4,CAROLA ANDREA CORTEZ COLQUE,Construcción Nueva,Residencial Mixta,1268.67 m2,0 plantas,890.52 m2,0.00 m2,1 plantas,508.68 m2,35.82 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,29 unidades,3.00 ml,0.00 ml,1 plantas,4 plantas,0.00 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDQ0MDA0NzAwMjIwMDAwfDM2NXwyMDE4
,005 0030 0026 0000,09/mar./2018,DATC PIAC CAMACHO 88/2018,,3C - d8,EL TEJAR,MDA1MDAzMDAwMjYwMDAwfDM2NnwyMDE4,ERICK NELSON CORONADO VARELA,Construcción Nueva,Residencial Mixta,252.00 m2,0 plantas,252.00 m2,0.00 m2,1 plantas,25.22 m2,12.05 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,1 unidades,0.00 ml,0.00 ml,0 plantas,6 plantas,1.00 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDA1MDAzMDAwMjYwMDAwfDM2NnwyMDE4
,044 0622 0014 0000,28/feb./2018,DATC PIAC SUR 207,,4P - d18,IRPAVI PLAYON,MDQ0MDYyMjAwMTQwMDAwfDM3NHwyMDE4,ANA GABRIELA LLORENTI ROCHA,Construcción Nueva,Residencial,271.10 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,57.75 m2,15.05 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,7 unidades,0.00 ml,0.00 ml,1 plantas,3 plantas,0.00 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDQ0MDYyMjAwMTQwMDAwfDM3NHwyMDE4
,046 0331 0001 0000,14/mar./2018,DATC PIAC SUR 262/2018,,4A - d19,LA FLORIDA,MDQ2MDMzMTAwMDEwMDAwfDM3OHwyMDE4,FEDERICO RAMIRO MUÑOZ MOYANO,Construcción Nueva,Residencial,679.00 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,350.77 m2,50.85 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,4 unidades,3.00 ml,0.00 ml,0 plantas,3 plantas,0.00 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDQ2MDMzMTAwMDEwMDAwfDM3OHwyMDE4
