error,gral__codigo_catastral,gral__fecha_aprobacion,gral__informe,gral__normativa_segun_informe,gral__patron_de_asentamiento,gral__zona_referencial,identificador_b64,otro__arquitecto_reponsable,otro__tipo_de_obra,otro__tipo_de_proyecto,par__ale_sub_area_de_lote_edificable,par__altillo,par__amc_sub_area_maxima_a_cubrir_sub_sotano,par__ame_sub_area_maxima_a_edificar_sub_zocalo,par__amf_sub_altura_maxima_de_fachada_sub_sotano,par__amv_sub_area_minima_verde,par__fml_sub_frente_minimo_de_lote,par__fondo,par__lateral_1,par__lateral_2,par__mezzanine,par__nmp_sub_numero_minimo_de_parqueos,par__rme_sub_retiro_minimo_de_edificacion_torre_sub_frontal,par__rme_zocalo_sub_retiro_minimo_de_edificacion_zocalo_sub_frontal,par__semisotano,par__torre,par__voladizo_sub_voladizo_sobre_retiro_frontal,par__zocalo,url
,028 0048 0020 0000,02/abr./2020,DATC SERMAT I - PIAC CAMACHO 574,,3F - d3,SOPOCACHI,MDI4MDA0ODAwMjAwMDAwfDI0NzIwfDIwMjA=,LUIS FERNANDO DE LUCA SIKITONE,Construcción Nueva,Residencial,481.04 m2,0 plantas,466.17 m2,0.00 m2,1 plantas,156.08 m2,19.50 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,11 unidades,3.00 ml,0.00 ml,1 plantas,6 plantas,0.60 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDI4MDA0ODAwMjAwMDAwfDI0NzIwfDIwMjA=
,033 0078 0002 0000,13/mar./2020,DATC SERMAT I - PIAC CAMACHO 492/2020,,3 - d5,VILLA NUEVO POTOSI,MDMzMDA3ODAwMDIwMDAwfDI0NzI1fDIwMjA=,JOAQUIN TEODOCIO CACHI AJNO,Construcción Nueva,Residencial Mixta,200.00 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,60.13 m2,12.90 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,1 unidades,0.00 ml,0.00 ml,1 plantas,4 plantas,0.50 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDMzMDA3ODAwMDIwMDAwfDI0NzI1fDIwMjA=
,011 0027 0042 0000,27/feb./2020,DATC SERMAT I - PIAC CAMACHO 369/2020,,3 - d7,LOS ANDES,MDExMDAyNzAwNDIwMDAwfDI0NzMxfDIwMjA=,JULIO MARTIN HUANCA LLUSCO,Construcción Nueva,Residencial Mixta,80.00 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,24.15 m2,8.00 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,1 unidades,0.00 ml,0.00 ml,0 plantas,4 plantas,0.75 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDExMDAyNzAwNDIwMDAwfDI0NzMxfDIwMjA=
,044 0340 0019 0000,28/feb./2020,DATC SERMAT III - PIAC SUR 450,,4AC - d18,ACHUMANI,MDQ0MDM0MDAwMTkwMDAwfDI0NzQ3fDIwMjA=,ERICK ISAAC MONTES DE OCA,Construcción Nueva,Residencial,287.70 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,88.81 m2,14.49 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,2 unidades,3.02 ml,0.00 ml,0 plantas,3 plantas,0.00 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDQ0MDM0MDAwMTkwMDAwfDI0NzQ3fDIwMjA=
,012 0057 0007 0000,01/jun./2020,DATC SERMAT I - PIAC CAMACHO 578/2020,,3 - d8,EL TEJAR,MDEyMDA1NzAwMDcwMDAwfDI0NzQ4fDIwMjA=,LUIS ANGEL VARGAS MAMANI,Construcción Nueva,Residencial Mixta,144.00 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,56.49 m2,8.02 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,2 unidades,3.23 ml,0.00 ml,0 plantas,5 plantas,0.00 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDEyMDA1NzAwMDcwMDAwfDI0NzQ4fDIwMjA=
,020 1188 0008 0000,06/mar./2020,DATC SERMAT II Nº271/2020,,3 - d16,VILLA SALOME,MDIwMTE4ODAwMDgwMDAwfDI0NzYyfDIwMjA=,LUIS ANGEL VARGAS MAMANI,Construcción Nueva,Residencial,200.00 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,60.18 m2,10.11 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,0 unidades,0.00 ml,0.00 ml,0 plantas,3 plantas,0.00 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDIwMTE4ODAwMDgwMDAwfDI0NzYyfDIwMjA=
,001 0396 0024 0000,09/mar./2020,DATC SERMAT II 283/2020,,3 - d11,ACHACHICALA,MDAxMDM5NjAwMjQwMDAwfDI0NzYzfDIwMjA=,LEYLA YANINA RODRIGUEZ FLORES,Construcción Nueva,Residencial,190.00 m2,1 plantas,0.00 m2,0.00 m2,0 plantas,64.90 m2,10.00 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,3 unidades,0.60 ml,0.00 ml,0 plantas,4 plantas,0.00 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDAxMDM5NjAwMjQwMDAwfDI0NzYzfDIwMjA=
,006 0267 0031 0000,27/feb./2020,DATC SERMAT II Nº228/2020,,3 - d13,VILLA EL CARMEN,MDA2MDI2NzAwMzEwMDAwfDI0Nzg3fDIwMjA=,NANCY DELFINA DAZA CUSICANQUI,Ampliación,Residencial,110.46 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,33.14 m2,5.40 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,0 unidades,0.00 ml,0.00 ml,0 plantas,5 plantas,0.75 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDA2MDI2NzAwMzEwMDAwfDI0Nzg3fDIwMjA=
,017 0137 0009 0000,18/mar./2020,DATC SERMAT III - PIAC SUR 575,,3AO - d21,ALTO OBRAJES,MDE3MDEzNzAwMDkwMDAwfDI0Nzk1fDIwMjA=,HECTOR IVAN FLORES SUMI,Construcción Nueva,Residencial,213.05 m2,0 plantas,56.63 m2,0.00 m2,1 plantas,66.80 m2,28.05 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,3 unidades,2.00 ml,0.00 ml,0 plantas,5 plantas,0.81 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDE3MDEzNzAwMDkwMDAwfDI0Nzk1fDIwMjA=
,038 0117 0032 0000,27/feb./2020,DATC SERMAT I - PIAC CAMACHO 372/2020,GDP-DPI-CPV-0321-INF/19,,MUNAYPATA,MDM4MDExNzAwMzIwMDAwfDI0Nzk3fDIwMjA=,RAMIRO WILLIAM MACUCHAPI CAYO,Construcción Nueva,Residencial Mixta,null m2,0 plantas,0.00 m2,0.00 m2,0 plantas,73.21 m2,3.39 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,0 unidades,0.00 ml,0.00 ml,0 plantas,4 plantas,0.00 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDM4MDExNzAwMzIwMDAwfDI0Nzk3fDIwMjA=
