id_proyecto_desarrollo,resultado,macro_distrito,distrito_municipal,cantidad_pisos,superficie_legal,superficie_construida,latitude,longitude,gral__patron_de_asentamiento,gral__zona_referencial,par__ale_sub_area_de_lote_edificable,par__altillo,par__amc_sub_area_maxima_a_cubrir_sub_sotano,par__ame_sub_area_maxima_a_edificar_sub_zocalo,par__amf_sub_altura_maxima_de_fachada_sub_sotano,par__amv_sub_area_minima_verde,par__fml_sub_frente_minimo_de_lote,par__fondo,par__lateral_1,par__lateral_2,par__mezzanine,par__nmp_sub_numero_minimo_de_parqueos,par__rme_sub_retiro_minimo_de_edificacion_torre_sub_frontal,par__rme_zocalo_sub_retiro_minimo_de_edificacion_zocalo_sub_frontal,par__semisotano,par__torre,par__voladizo_sub_voladizo_sobre_retiro_frontal,par__zocalo,es_agil,es_ampliacion
8,APROBADO,III - PERIFERICA,13,4,219.06,649.08,-16.478085,-68.117633,3 - d13,VILLA FATIMA,219.06,0,0.0,0.0,0,66.44,15.0,0.0,0.0,0.0,0.0,0,0.62,0.0,0,4,0.0,0,False,True
8,OBSERVADO,V - SUR,18,6,585.0,0.0,-16.526177,-68.083611,DESCONOCIDO,DESCONOCIDO,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,False,True
8,APROBADO,III - PERIFERICA,13,4,200.0,526.33,-16.465299,-68.111196,3 - d13,VILLA EL CARMEN,200.0,0,0.0,0.0,0,60.9,9.73,0.0,0.0,0.0,0.0,0,0.0,0.0,0,4,1.0,0,False,True
8,OBSERVADO,II - MAXIMILIANO PAREDES,8,5,224.0,0.0,-16.490813,-68.148665,DESCONOCIDO,DESCONOCIDO,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,False,True
8,APROBADO,III - PERIFERICA,12,4,210.79,830.31,-16.478532,-68.12825,2 - d12,CUPILUPACA,210.79,0,0.0,0.0,0,38.94,17.55,0.0,0.0,0.0,0.0,0,0.0,0.0,0,4,0.8,0,False,True
9,OBSERVADO,II - MAXIMILIANO PAREDES,8,5,186.0,0.0,-16.491011,-68.156148,DESCONOCIDO,DESCONOCIDO,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,False,True
8,APROBADO,IV - SAN ANTONIO,15,4,100.0,309.73,-16.492308,-68.111635,DESCONOCIDO,DESCONOCIDO,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,False,True
4,OBSERVADO,V - SUR,21,4,1238.05,0.0,-16.523363,-68.111293,DESCONOCIDO,DESCONOCIDO,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,False,True
8,APROBADO,IV - SAN ANTONIO,15,3,100.0,180.5,-16.497966,-68.112277,3 - d15,VILLA SAN ANTONIO,100.0,0,0.0,0.0,0,33.9,5.0,0.0,0.0,0.0,0.0,0,4.24,0.0,0,3,0.0,0,False,True
8,APROBADO,V - SUR,21,5,206.03,635.76,-16.524156,-68.101439,DESCONOCIDO,DESCONOCIDO,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,False,True
